Step,Peak_Mass_Amp,Mass_Volume
0,3.656325,12604
20,6.514734,17336
40,6.083905,23827
60,5.801881,26765
80,5.35762,41693
100,7.85524,54368
120,4.922436,63411
140,5.749905,76596
160,4.612966,79589
180,4.310072,101326
200,4.395271,116977
220,3.677657,124880
240,1.683128,129172
260,1.852309,139808
280,1.060086,146711
300,2.101825,154148
320,2.758991,156524
340,4.884399,145166
360,5.797411,142009
380,6.17633,137243
400,5.45153,140510
420,5.224459,136803
440,3.651409,144902
460,2.832823,158294
480,1.233949,141296
500,1.338338,159910
520,2.568666,141762
540,4.274593,157794
560,5.966835,151595
580,6.642155,150453
600,5.118026,152971
620,3.544512,143731
640,1.93152,142715
660,0.532336,145495
680,1.723683,151826
700,3.762006,139973
720,5.808403,152717
740,6.310673,143408
760,5.114669,152073
780,3.613663,147889
