Step,Peak_Mass_Amp,Mass_Volume
0,3.656325,12604
50,2.404693,25656
100,7.85524,54368
150,1.154784,72263
200,4.395271,116977
250,6.170105,131810
300,2.101825,154148
350,2.650016,137057
400,5.45153,140510
450,4.652302,142966
500,1.338338,159910
550,2.88529,150078
600,5.118026,152971
650,6.049174,157259
700,3.762006,139973
750,1.094533,158297
800,2.136478,159700
850,3.96742,157189
900,5.926126,149107
950,5.464964,144727
1000,3.380878,127442
1050,1.10681,135422
1100,1.565932,144320
1150,3.324297,105296
1200,4.775989,127244
1250,5.888351,103363
1300,5.649569,129699
1350,3.790674,140828
1400,1.965285,96265
1450,0.593669,149602
1500,1.642126,122546
1550,2.947304,114270
1600,3.987814,135836
1650,5.00085,131461
1700,5.829987,135751
1750,5.664821,139926
1800,4.799774,136922
1850,4.071548,143907
1900,2.80376,121431
1950,1.703142,121921
2000,0.868165,120441
2050,0.478849,120267
2100,1.437095,100471
2150,2.314669,100790
2200,2.971054,65486
2250,3.447718,109553
2300,4.366917,83499
2350,4.497898,71269
2400,4.66335,104004
2450,5.312706,53630
2500,5.509819,85033
2550,5.159198,90035
2600,5.639313,84096
2650,5.402151,95818
2700,5.001606,86270
2750,5.19852,132711
2800,4.845868,107942
2850,4.757549,102292
2900,4.32566,119742
2950,4.250501,115289
3000,4.097082,113963
3050,3.858386,116167
3100,3.877463,144090
3150,3.795843,108704
3200,3.64345,148680
3250,3.665225,118229
3300,3.68268,104771
3350,3.608148,132073
3400,3.597914,73222
3450,3.742321,113491
3500,3.822874,116335
3550,3.906521,74926
3600,3.978372,125708
3650,4.086594,63628
3700,4.251626,97473
3750,4.410273,108699
3800,4.62385,81361
3850,4.735018,118057
3900,4.847398,104860
3950,4.713857,100140
4000,5.088607,116713
4050,5.454649,90920
4100,5.201608,107775
4150,4.805539,113518
4200,5.164025,81695
4250,5.217294,93163
4300,4.692421,102322
4350,4.405845,70022
4400,4.386234,78298
4450,4.038964,79264
4500,3.439767,56324
4550,3.266532,82691
4600,2.736964,33336
4650,2.199042,69847
4700,1.68764,60430
4750,1.081057,70446
4800,0.546657,69577
4850,0.608869,52535
4900,1.277836,99050
4950,1.902183,71098
5000,2.54639,86828
5050,3.192808,101276
5100,3.94732,89738
5150,4.218422,111092
5200,4.710803,95326
5250,5.025144,110134
5300,5.170108,85554
5350,4.881669,123611
5400,4.638797,104794
5450,4.251171,98687
5500,3.678777,124699
5550,3.042754,45499
5600,2.468106,113295
5650,1.550699,99759
5700,0.709675,67191
5750,0.710134,114581
5800,1.538437,50402
5850,2.412839,88968
5900,3.265791,96605
5950,4.025548,84180
6000,4.450341,94493
6050,5.038819,93771
6100,4.811614,95503
6150,4.86686,105730
6200,4.202201,104008
6250,3.528871,88926
6300,2.844986,106314
6350,1.921508,85989
6400,0.862933,71218
6450,0.757353,104959
6500,1.834427,43119
6550,2.903692,85111
6600,3.781091,78866
6650,4.540141,59260
6700,4.973089,88306
6750,4.758246,34871
6800,4.005773,75889
6850,3.278803,58827
6900,2.139919,70609
6950,0.810187,68642
7000,1.082428,53176
7050,2.371218,93167
7100,3.55867,64521
7150,4.516261,96565
7200,4.68871,81341
7250,4.49981,83344
7300,3.917822,87907
7350,2.945215,86809
7400,1.526269,98519
7450,0.57251,63036
7500,1.950677,111242
7550,3.163859,68497
7600,4.079151,94531
7650,4.727885,101168
7700,4.686383,27622
7750,3.961808,103608
7800,2.91357,57756
7850,1.584103,78663
7900,0.659752,96704
7950,2.040467,28074
8000,3.404642,97609
8050,4.371407,83186
8100,4.506728,92208
8150,4.365088,97022
8200,3.741331,73960
8250,2.529655,97844
8300,0.855893,89679
8350,1.487193,93470
8400,2.946116,82811
8450,4.056607,91935
8500,4.163529,73531
8550,4.278808,69838
8600,3.84883,103192
8650,2.645104,37337
8700,0.905035,101031
8750,1.573477,75006
8800,3.260749,50713
8850,4.354296,90654
8900,4.399604,49087
8950,4.188335,91532
9000,3.436289,54362
9050,2.139961,66015
9100,0.685866,74379
9150,1.686762,56744
9200,3.343468,105420
9250,4.293324,65168
9300,4.905305,69865
9350,4.363022,82291
9400,2.970246,72846
9450,1.355044,73830
9500,1.048494,74205
9550,2.503874,83437
9600,3.617682,51641
9650,4.29097,103551
9700,4.359093,65539
9750,3.490232,69618
9800,1.982827,100894
9850,0.67072,23983
9900,2.556501,96946
9950,4.124549,65268
10000,4.52206,63214
10050,3.99723,94871
10100,3.395486,25671
10150,1.990386,84143
10200,0.455985,73184
10250,2.044662,70905
10300,3.571473,79930
10350,4.68082,65307
10400,4.339773,81589
10450,3.645399,69411
10500,2.23344,94397
10550,0.499308,51621
10600,2.003331,72357
10650,3.52768,84183
10700,4.500663,42873
10750,4.351539,96355
10800,3.647137,42488
10850,2.278779,80505
10900,0.397119,66418
10950,2.035271,41311
11000,3.780661,87902
11050,4.715149,27187
11100,4.233496,85925
11150,2.980502,53995
11200,1.036673,52996
11250,1.682584,76059
11300,3.508317,46655
11350,4.610477,92442
11400,4.255458,48871
11450,2.843673,74708
11500,0.920247,68928
11550,1.87545,62620
11600,3.560325,82051
11650,4.240969,59927
11700,3.86589,82010
11750,2.577147,48789
11800,0.599618,71534
11850,2.158628,63057
11900,3.747616,63530
11950,4.384934,82036
12000,3.773278,26605
12050,2.168583,75258
12100,0.696096,65949
12150,2.621618,59220
12200,4.129091,78358
12250,4.360658,42807
12300,3.451345,76407
12350,1.687773,71173
12400,1.198255,72729
12450,3.184662,66755
12500,4.362233,69847
12550,4.204401,78410
12600,2.9934,53270
12650,1.051907,93890
12700,1.854732,38003
12750,3.622319,70200
12800,4.500167,80181
12850,3.970798,36105
12900,2.176248,100097
12950,0.792255,19480
13000,3.002158,73148
13050,4.427997,68811
13100,4.352293,41616
13150,2.938874,88283
13200,0.720306,13249
13250,2.300326,77283
13300,4.011472,56726
13350,4.364638,58657
13400,3.280393,81160
13450,1.464213,37315
13500,1.577612,79867
13550,3.531225,56025
13600,4.199356,70686
13650,3.688145,63994
13700,2.066715,65906
13750,0.994405,78313
13800,2.990882,36821
13850,4.095405,89970
13900,3.892508,43867
13950,2.591234,74141
14000,0.445198,75947
14050,2.53863,31714
14100,4.008518,89826
14150,4.310069,25897
14200,2.970374,73052
14250,0.927972,73939
14300,2.157071,42216
14350,3.925054,81067
14400,4.38719,43036
14450,3.338653,70282
14500,1.315836,75208
14550,1.77641,76074
14600,3.822487,63825
14650,4.436627,60380
14700,3.52892,80363
14750,1.306479,48785
14800,1.767988,94243
14850,3.838278,50766
14900,4.239054,65691
14950,2.865197,74804
15000,0.574077,36961
15050,2.620987,89767
15100,4.0556,31235
15150,3.666271,70836
15200,1.991482,60938
15250,1.338582,37275
15300,3.494324,90142
15350,3.946411,36314
15400,2.943481,73162
15450,0.652079,54854
15500,2.557038,56767
15550,3.836648,85485
15600,3.292832,47069
15650,1.434484,75079
15700,1.864075,51943
15750,3.802042,64749
15800,3.896667,60981
15850,2.293708,65397
15900,1.113572,68355
15950,3.624471,26470
16000,4.579835,76750
16050,3.457424,30815
16100,0.94527,75808
16150,2.501488,68867
16200,4.082249,24847
16250,3.782195,84883
16300,1.812954,22285
16350,1.51714,81977
16400,3.524143,70637
16450,3.690174,41512
16500,2.14919,90396
16550,1.157026,34113
16600,3.398248,72320
16650,4.205531,65338
16700,3.057364,66194
16750,0.444612,66753
16800,2.971999,53900
16850,4.429053,69965
16900,3.817427,22717
16950,1.697222,86159
17000,1.845907,50049
17050,3.735679,53099
17100,3.855226,77810
17150,2.17384,18106
17200,1.127136,82339
17250,3.316847,45571
17300,3.874584,70828
17350,2.636304,61256
17400,0.663167,32173
17450,3.088655,80622
17500,4.0914,42077
17550,3.304027,82076
17600,1.028183,50237
17650,2.36928,52194
17700,4.029163,78443
17750,3.772404,44738
17800,1.949243,73397
17850,1.449206,37554
17900,3.596377,65544
17950,4.010445,59565
18000,2.586128,55344
18050,0.683563,64035
18100,3.147945,25356
18150,4.090905,76677
18200,3.137768,35851
18250,0.643103,65148
18300,2.703863,63229
18350,4.168314,23156
18400,3.55734,79839
18450,0.875831,30916
18500,2.553236,69757
18550,4.026871,63559
18600,3.287113,36207
18650,0.702001,72963
18700,2.747984,37002
18750,3.845405,80522
18800,2.426776,41766
18850,1.133275,60023
18900,3.572522,64026
18950,4.08518,37172
19000,1.923573,77658
19050,1.854287,17262
19100,3.279115,76379
19150,2.426375,41945
19200,1.03204,35399
19250,3.402472,66385
19300,3.817176,8897
19350,1.820486,73859
19400,1.900559,33735
19450,3.1867,56261
19500,1.91629,56736
19550,1.638871,16310
19600,3.795315,70158
19650,3.912291,29325
19700,1.442566,72100
19750,2.08668,48871
19800,2.315341,45998
19850,0.775711,59799
19900,3.352572,33783
19950,3.872057,58630
