# 宇宙引擎幾何連續介質雙波對比實驗數據 (修正版)
# 基礎剛度 alpha_base,0.12
# 非線性剛度 k_quad,0.015
# 重力波初始振幅,0.2
# 測得剪切光速 c_e,0.691512
# 測得重力波速 c_g,0.646880

Time(s),Light_r_0,Light_r_1,Light_r_2,Light_r_3,Light_r_4,Light_r_5,Light_r_6,Light_r_7,Light_r_8,Light_r_9,Light_r_10,Light_r_11,Light_r_12,Light_r_13,Light_r_14,Light_r_15,Light_r_16,Light_r_17,Light_r_18,Light_r_19,Light_r_20,Light_r_21,Light_r_22,Light_r_23,Light_r_24,Light_r_25,Light_r_26,Light_r_27,Light_r_28,Light_r_29,Light_r_30,Light_r_31,Grav_r_0,Grav_r_1,Grav_r_2,Grav_r_3,Grav_r_4,Grav_r_5,Grav_r_6,Grav_r_7,Grav_r_8,Grav_r_9,Grav_r_10,Grav_r_11,Grav_r_12,Grav_r_13,Grav_r_14,Grav_r_15,Grav_r_16,Grav_r_17,Grav_r_18,Grav_r_19,Grav_r_20,Grav_r_21,Grav_r_22,Grav_r_23,Grav_r_24,Grav_r_25,Grav_r_26,Grav_r_27,Grav_r_28,Grav_r_29,Grav_r_30,Grav_r_31
0.0000,2.835804e-07,7.117363e-02,7.308403e-02,3.608873e-02,1.015674e-02,1.718291e-03,1.789386e-04,1.161657e-05,4.737069e-07,1.219365e-08,1.988035e-10,2.058053e-12,1.355390e-14,5.687702e-17,1.522996e-19,2.606014e-22,2.854138e-25,2.004767e-28,9.055095e-32,2.639531e-35,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.154009e-02,3.839969e-01,3.261752e-01,5.192450e-02,5.562017e-02,3.344600e-02,8.259167e-03,1.106960e-03,8.692873e-05,4.133398e-06,1.210884e-07,2.208268e-09,2.523923e-11,1.816295e-13,8.257265e-16,2.377497e-18,4.344076e-21,5.045180e-24,3.729734e-27,1.757466e-30,5.285763e-34,9.956485e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.0200,1.133853e-06,7.116456e-02,7.307626e-02,3.608672e-02,1.015708e-02,1.718604e-03,1.790141e-04,1.162592e-05,4.743769e-07,1.222266e-08,1.995790e-10,2.071016e-12,1.369038e-14,5.778644e-17,1.561469e-19,2.709608e-22,3.032024e-25,2.199912e-28,1.042530e-31,3.256679e-35,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.153686e-02,3.839833e-01,3.261656e-01,5.192515e-02,5.561730e-02,3.344521e-02,8.259199e-03,1.107009e-03,8.693806e-05,4.134253e-06,1.211324e-07,2.209620e-09,2.526455e-11,1.819238e-13,8.278663e-16,2.387286e-18,4.372372e-21,5.097000e-24,3.789989e-27,1.802027e-30,5.495456e-34,9.956485e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.0400,2.550180e-06,7.114946e-02,7.306329e-02,3.608335e-02,1.015765e-02,1.719125e-03,1.791399e-04,1.164151e-05,4.754936e-07,1.227101e-08,2.008723e-10,2.092651e-12,1.391842e-14,5.930849e-17,1.626036e-19,2.884202e-22,3.333812e-25,2.534374e-28,1.281085e-31,4.357075e-35,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.009383e-21,6.153152e-02,3.839606e-01,3.261496e-01,5.192621e-02,5.561253e-02,3.344388e-02,8.259252e-03,1.107091e-03,8.695361e-05,4.135676e-06,1.212058e-07,2.211871e-09,2.530675e-11,1.824143e-13,8.314335e-16,2.403614e-18,4.419596e-21,5.183576e-24,3.890826e-27,1.876795e-30,5.849179e-34,9.956485e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.0600,4.531838e-06,7.112833e-02,7.304516e-02,3.607864e-02,1.015844e-02,1.719854e-03,1.793159e-04,1.166333e-05,4.770570e-07,1.233873e-08,2.026850e-10,2.123007e-12,1.423891e-14,6.145325e-17,1.717387e-19,3.132777e-22,3.767653e-25,3.022350e-28,1.636981e-31,6.053834e-35,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.561168e-20,6.152402e-02,3.839289e-01,3.261272e-01,5.192771e-02,5.560586e-02,3.344204e-02,8.259326e-03,1.107205e-03,8.697535e-05,4.137667e-06,1.213085e-07,2.215022e-09,2.536583e-11,1.831012e-13,8.364306e-16,2.426501e-18,4.485861e-21,5.305252e-24,4.032898e-27,1.982547e-30,6.352353e-34,1.148844e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.0800,7.078020e-06,7.110118e-02,7.302185e-02,3.607259e-02,1.015946e-02,1.720791e-03,1.795422e-04,1.169138e-05,4.790675e-07,1.242587e-08,2.050197e-10,2.162159e-12,1.465318e-14,6.423505e-17,1.836504e-19,3.459576e-22,4.345198e-25,3.684291e-28,2.133314e-31,8.515867e-35,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.106593e-19,6.151440e-02,3.838881e-01,3.260984e-01,5.192963e-02,5.559728e-02,3.343965e-02,8.259423e-03,1.107352e-03,8.700331e-05,4.140228e-06,1.214405e-07,2.219073e-09,2.544179e-11,1.839847e-13,8.428617e-16,2.455981e-18,4.571330e-21,5.462523e-24,4.217136e-27,2.120387e-30,7.013390e-34,1.352484e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.1000,1.018783e-05,7.106801e-02,7.299338e-02,3.606519e-02,1.016071e-02,1.721936e-03,1.798187e-04,1.172566e-05,4.815259e-07,1.253250e-08,2.078797e-10,2.210204e-12,1.516294e-14,6.767263e-17,1.984668e-19,3.870148e-22,5.081791e-25,4.547455e-28,2.801438e-31,1.197888e-34,1.221537e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.195684e-19,6.150266e-02,3.838384e-01,3.260632e-01,5.193198e-02,5.558680e-02,3.343675e-02,8.259539e-03,1.107532e-03,8.703746e-05,4.143355e-06,1.216018e-07,2.224024e-09,2.553466e-11,1.850652e-13,8.507324e-16,2.492098e-18,4.676220e-21,5.656036e-24,4.444754e-27,2.291755e-30,7.843148e-34,1.611782e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.1200,1.386029e-05,7.102884e-02,7.295976e-02,3.605646e-02,1.016218e-02,1.723288e-03,1.801453e-04,1.176618e-05,4.844330e-07,1.265870e-08,2.112691e-10,2.267262e-12,1.577031e-14,7.178911e-17,2.163466e-19,4.371408e-22,5.996728e-25,5.646632e-28,3.682258e-31,1.676029e-34,3.010156e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.876522e-18,6.148877e-02,3.837795e-01,3.260217e-01,5.193475e-02,5.557442e-02,3.343331e-02,8.259675e-03,1.107744e-03,8.707781e-05,4.147051e-06,1.217924e-07,2.229875e-09,2.564444e-11,1.863432e-13,8.600498e-16,2.534909e-18,4.800798e-21,5.886589e-24,4.717253e-27,2.498436e-30,8.855150e-34,1.933217e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.1400,1.809435e-05,7.098368e-02,7.292099e-02,3.604638e-02,1.016388e-02,1.724847e-03,1.805220e-04,1.181294e-05,4.877899e-07,1.280457e-08,2.151930e-10,2.333479e-12,1.647782e-14,7.661216e-17,2.374802e-19,4.971709e-22,7.113589e-25,7.025055e-28,4.827885e-31,2.327874e-34,5.593735e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.639540e-18,6.147277e-02,3.837116e-01,3.259738e-01,5.193795e-02,5.556015e-02,3.342935e-02,8.259836e-03,1.107989e-03,8.712435e-05,4.151313e-06,1.220123e-07,2.236626e-09,2.577117e-11,1.878195e-13,8.708226e-16,2.584481e-18,4.945385e-21,6.155139e-24,5.036428e-27,2.742571e-30,1.006573e-33,2.324672e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.1600,2.288885e-05,7.093253e-02,7.287707e-02,3.603496e-02,1.016580e-02,1.726613e-03,1.809489e-04,1.186594e-05,4.915980e-07,1.297024e-08,2.196572e-10,2.409022e-12,1.728844e-14,8.217405e-17,2.620909e-19,5.680934e-22,8.460622e-25,8.735517e-28,6.303688e-31,3.207890e-34,9.283052e-38,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.478364e-17,6.145462e-02,3.836348e-01,3.259195e-01,5.194157e-02,5.554398e-02,3.342487e-02,8.260015e-03,1.108266e-03,8.717707e-05,4.156142e-06,1.222615e-07,2.244279e-09,2.591489e-11,1.894948e-13,8.830606e-16,2.640892e-18,5.110354e-21,6.462800e-24,5.404375e-27,3.026670e-30,1.149419e-33,2.795546e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.1800,2.824257e-05,7.087541e-02,7.282803e-02,3.602221e-02,1.016795e-02,1.728586e-03,1.814259e-04,1.192519e-05,4.958589e-07,1.315584e-08,2.246686e-10,2.494085e-12,1.820553e-14,8.851187e-17,2.904366e-19,6.510598e-22,1.007122e-24,1.084171e-27,8.190804e-31,4.386259e-34,1.449781e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.486007e-17,6.143440e-02,3.835489e-01,3.258589e-01,5.194562e-02,5.552593e-02,3.341985e-02,8.260217e-03,1.108576e-03,8.723595e-05,4.161538e-06,1.225399e-07,2.252834e-09,2.607564e-11,1.913700e-13,8.967761e-16,2.704232e-18,5.296135e-21,6.810846e-24,5.823498e-27,3.353631e-30,1.316300e-33,3.356884e-37,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
